SCORE	PATH	SYMBOL	START	END	IDENTITY	ACL	FILTER	RETRIEVAL	BACKEND	RERANK	CONTEXT	CALLS
11	backend/onyx/connectors/box/connector.py	BoxConnector._convert_web_link	517	544	0	2	0	1	0	0	0	Document,TextSection,_to_utc,box_web_link_document_id,resolve_box_web_link_access
11	backend/onyx/connectors/egnyte/connector.py	_process_egnyte_file	55	132	0	0	2	1	0	0	0	BasicExpertInfo,Document,TextSection,ValueError,_parse_last_modified,detect_encoding,extract_file_text,file_content_raw.strip,file_metadata.get,get_file_ext,lock_info.get,logger.warning,read_text_file,startswith
11	backend/onyx/connectors/google_drive/connector.py	GoogleDriveConnector._is_my_drive_root	518	549	1	0	0	3	0	0	0	folder.get,self._get_my_drive_root_id
11	backend/onyx/db/document.py	get_file_ids_for_document_ids	1204	1217	0	0	2	1	0	0	0	DbDocument.file_id.isnot,DbDocument.id.in_,all,db_session.query,filter
11	backend/onyx/db/document.py	get_document_id_to_file_id_map	1220	1233	0	0	2	1	0	0	0	DbDocument.file_id.isnot,DbDocument.id.in_,all,db_session.query,filter
11	backend/onyx/db/document_set.py	fetch_document_sets_for_document	786	800	0	2	0	1	0	0	0	fetch_document_sets_for_documents
11	backend/onyx/db/feedback.py	fetch_docs_ranked_by_boost_for_user	96	114	4	0	0	1	0	0	0	_add_user_filters,all,db_session.execute,list,order_func,result.scalars,select,stmt.limit,stmt.order_by
11	backend/onyx/db/persona.py	get_default_assistant	2108	2118	0	0	2	1	0	0	0	Persona.builtin_persona.is_,Persona.deleted.is_,db_session.query,filter,one_or_none,options,selectinload
11	backend/onyx/db/scheduled_task.py	soft_delete_scheduled_task	249	274	4	0	0	1	0	0	0	db_session.execute,db_session.flush,scalar_one_or_none,select,where
11	backend/onyx/federated_connectors/interfaces.py	FederatedConnector.callback	84	94	0	2	0	1	0	0	0	-
11	backend/onyx/indexing/port_reembed.py	_reconstruct_source_document	341	361	0	0	0	2	1	0	2	Document,DocumentSource,TextSection,join,sorted,zip
11	backend/onyx/llm/factory.py	get_default_llm_with_vision	243	345	1	0	0	3	0	0	0	LLMProviderView.from_model,create_vision_llm,fetch_default_vision_model,fetch_existing_models,get_session_with_current_tenant,join,len,llm_from_provider,logger.info,logger.warning,model_supports_image_input,sorted
11	backend/onyx/natural_language_processing/search_nlp_models.py	cohere_rerank_aws	711	747	0	0	0	3	0	1	0	aioboto3.Session,bedrock_client.invoke_model,json.dumps,json.loads,read,response_body.get,session.client,sorted
11	backend/onyx/server/features/build/db/build_session.py	count_user_messages	362	371	2	0	1	1	0	0	0	count,db_session.query,filter
11	backend/onyx/server/features/build/db/sandbox.py	user_has_stale_active_session	256	281	4	0	0	1	0	0	0	db_session.execute,first,func.max,latest_snapshot_at.is_,limit,or_,scalar_subquery,select,where
11	backend/onyx/server/features/build/db/user_library.py	store_user_file	85	136	2	1	0	1	0	0	0	DocumentMetadata,build_document_id,file_path.split,file_store.save_file,get_default_file_store,get_document,io.BytesIO,len,upsert_document_by_connector_credential_pair,upsert_documents
11	backend/onyx/server/features/build/db/user_library.py	create_directory_record	151	173	2	1	0	1	0	0	0	DocumentMetadata,build_document_id,upsert_document_by_connector_credential_pair,upsert_documents
11	backend/onyx/server/features/build/sandbox/opencode/serve_client.py	OpencodeServeClient.send_message	1329	1437	0	0	0	1	0	0	8	Error.model_validate,RuntimeError,_TurnState,_short_body,min,self._consume_from_bus,self._event_bus.subscribe,self._event_bus.unsubscribe,self._post_prompt_async,self._wait_for_event_stream_ready,self.abort,self.get_message,time.monotonic
11	backend/onyx/server/features/build/scheduled_tasks/api.py	_latest_run	240	257	4	0	0	1	0	0	0	list_runs_for_task
11	backend/onyx/server/features/build/session/manager.py	SessionManager.get_upload_stats	1737	1763	4	0	0	1	0	0	0	self._require_session_and_sandbox,self._sandbox_manager.get_upload_stats
11	backend/onyx/server/features/persona/api.py	list_personas	628	644	4	0	0	1	0	0	0	Depends,Query,basic_router.get,get_minimal_persona_snapshots_for_user
11	backend/onyx/server/saml_multi.py	_extract_issuer_from_saml_response	159	179	0	2	0	1	0	0	0	OneLogin_Saml2_XML.element_text,OneLogin_Saml2_XML.query,OneLogin_Saml2_XML.to_etree,OnyxError,base64.b64decode
11	backend/onyx/tools/tool_implementations/web_search/providers.py	get_default_provider	188	193	1	0	0	3	0	0	0	_build_search_provider,fetch_active_web_search_provider,get_session_with_current_tenant
10	backend/onyx/background/celery/tasks/index_reclaim/tasks.py	run_old_index_reclaim_task	361	364	2	0	0	2	0	0	0	execute_old_index_reclaim,shared_task
10	backend/onyx/chat/chat_utils.py	load_chat_file	485	592	3	0	0	1	0	0	1	ChatFileType,ChatLoadedFile.lazy_loaded,UUID,_get_or_extract_plaintext,extract_file_text,file_descriptor.get,file_type.is_text_file,get_default_file_store,get_user_file_by_id,log_function_time,logger.error,logger.warning,read,read_file,str
10	backend/onyx/connectors/box/connector.py	BoxConnector.retrieve_all_slim_docs	802	810	0	1	0	2	0	0	0	self._retrieve_all_slim_docs
10	backend/onyx/connectors/box/connector.py	BoxConnector.retrieve_all_slim_docs_perm_sync	812	820	0	1	0	2	0	0	0	self._retrieve_all_slim_docs
10	backend/onyx/connectors/confluence/connector.py	ConfluenceConnector.retrieve_all_slim_docs	1075	1087	0	1	0	2	0	0	0	self._retrieve_all_slim_docs
10	backend/onyx/connectors/confluence/onyx_confluence.py	OnyxConfluence.retrieve_confluence_spaces	364	401	0	0	1	2	0	0	0	logger.warning,self._paginate_spaces_for_endpoint
10	backend/onyx/connectors/confluence/onyx_confluence.py	OnyxConfluence._probe_connection	403	455	0	1	0	2	0	0	0	RuntimeError,logger.info,logger.warning,next,r.raise_for_status,requests.get,self._initialize_connection_helper,self._renew_credentials,self.retrieve_confluence_spaces
10	backend/onyx/connectors/github/connector.py	GithubConnector.retrieve_all_slim_docs	1300	1306	0	1	0	2	0	0	0	self._retrieve_slim_docs
